Stary plik;Nowa klasa;Stara funkcja;Nowa metoda;KOD podmiany
voucher-gift-functions.php;SRL_Voucher_Gift_Functions;srl_dodaj_vouchery_po_zakupie();dodajVoucheryPoZakupie(;SRL_Voucher_Gift_Functions::getInstance()->dodajVoucheryPoZakupie(
voucher-gift-functions.php;SRL_Voucher_Gift_Functions;srl_usun_vouchery_zamowienia();usunVoucheryZamowienia(;SRL_Voucher_Gift_Functions::getInstance()->usunVoucheryZamowienia(
voucher-gift-functions.php;SRL_Voucher_Gift_Functions;srl_wykorzystaj_voucher();wykorzystajVoucher(;SRL_Voucher_Gift_Functions::getInstance()->wykorzystajVoucher(
voucher-gift-functions.php;SRL_Voucher_Gift_Functions;srl_oznacz_przeterminowane_vouchery();oznaczPrzeterminowaneVouchery(;SRL_Voucher_Gift_Functions::getInstance()->oznaczPrzeterminowaneVouchery(
woocommerce-integration.php;SRL_WooCommerce_Integration;srl_order_status_changed();orderStatusChanged(;SRL_WooCommerce_Integration::getInstance()->orderStatusChanged(
woocommerce-integration.php;SRL_WooCommerce_Integration;srl_czy_produkt_lotu();czyProduktLotu(;SRL_WooCommerce_Integration::getInstance()->czyProduktLotu(
woocommerce-integration.php;SRL_WooCommerce_Integration;srl_dodaj_loty_po_zakupie();dodajLotyPoZakupie(;SRL_WooCommerce_Integration::getInstance()->dodajLotyPoZakupie(
woocommerce-integration.php;SRL_WooCommerce_Integration;srl_usun_loty_zamowienia();usunLotyZamowienia(;SRL_WooCommerce_Integration::getInstance()->usunLotyZamowienia(
woocommerce-integration.php;SRL_WooCommerce_Integration;srl_before_delete_order();beforeDeleteOrder(;SRL_WooCommerce_Integration::getInstance()->beforeDeleteOrder(
woocommerce-integration.php;SRL_WooCommerce_Integration;srl_migruj_istniejace_zamowienia();migrujIstniejaceZamowienia(;SRL_WooCommerce_Integration::getInstance()->migrujIstniejaceZamowienia(
woocommerce-integration.php;SRL_WooCommerce_Integration;srl_oznacz_przeterminowane_loty();oznaczPrzeterminowaneLoty(;SRL_WooCommerce_Integration::getInstance()->oznaczPrzeterminowaneLoty(
woocommerce-integration.php;SRL_WooCommerce_Integration;srl_schedule_daily_check();scheduleDailyCheck(;SRL_WooCommerce_Integration::getInstance()->scheduleDailyCheck(
woocommerce-integration.php;SRL_WooCommerce_Integration;srl_dokup_filmowanie();dokupFilmowanie(;SRL_WooCommerce_Integration::getInstance()->dokupFilmowanie(
woocommerce-integration.php;SRL_WooCommerce_Integration;srl_dokup_akrobacje();dokupAkrobacje(;SRL_WooCommerce_Integration::getInstance()->dokupAkrobacje(
woocommerce-integration.php;SRL_WooCommerce_Integration;srl_dokup_przedluzenie();dokupPrzedluzenie(;SRL_WooCommerce_Integration::getInstance()->dokupPrzedluzenie(
email-functions.php;SRL_Email_Functions;srl_send_email();sendEmail(;SRL_Email_Functions::getInstance()->sendEmail(
email-functions.php;SRL_Email_Functions;srl_wyslij_email_potwierdzenia();wyslijEmailPotwierdzenia(;SRL_Email_Functions::getInstance()->wyslijEmailPotwierdzenia(
email-functions.php;SRL_Email_Functions;srl_wyslij_email_anulowania();wyslijEmailAnulowania(;SRL_Email_Functions::getInstance()->wyslijEmailAnulowania(
email-functions.php;SRL_Email_Functions;srl_wyslij_email_voucher();wyslijEmailVoucher(;SRL_Email_Functions::getInstance()->wyslijEmailVoucher(
email-functions.php;SRL_Email_Functions;srl_wyslij_email_przypomnienie();wyslijEmailPrzypomnienie(;SRL_Email_Functions::getInstance()->wyslijEmailPrzypomnienie(
email-functions.php;SRL_Email_Functions;srl_wyslij_email_wygasniecia_lotu();wyslijEmailWygasnieciaLotu(;SRL_Email_Functions::getInstance()->wyslijEmailWygasnieciaLotu(
email-functions.php;SRL_Email_Functions;srl_wyslij_email_administratora();wyslijEmailAdministratora(;SRL_Email_Functions::getInstance()->wyslijEmailAdministratora(
email-functions.php;SRL_Email_Functions;srl_send_partner_voucher_approval_email();sendPartnerVoucherApprovalEmail(;SRL_Email_Functions::getInstance()->sendPartnerVoucherApprovalEmail(
email-functions.php;SRL_Email_Functions;srl_send_partner_voucher_rejection_email();sendPartnerVoucherRejectionEmail(;SRL_Email_Functions::getInstance()->sendPartnerVoucherRejectionEmail(
database-helpers.php;SRL_Database_Helpers;srl_execute_query();executeQuery(;SRL_Database_Helpers::getInstance()->executeQuery(
database-helpers.php;SRL_Database_Helpers;srl_get_flight_by_id();getFlightById(;SRL_Database_Helpers::getInstance()->getFlightById(
database-helpers.php;SRL_Database_Helpers;srl_get_user_flights();getUserFlights(;SRL_Database_Helpers::getInstance()->getUserFlights(
database-helpers.php;SRL_Database_Helpers;srl_get_available_slots();getAvailableSlots(;SRL_Database_Helpers::getInstance()->getAvailableSlots(
database-helpers.php;SRL_Database_Helpers;srl_is_slot_available();isSlotAvailable(;SRL_Database_Helpers::getInstance()->isSlotAvailable(
database-helpers.php;SRL_Database_Helpers;srl_get_slot_details();getSlotDetails(;SRL_Database_Helpers::getInstance()->getSlotDetails(
database-helpers.php;SRL_Database_Helpers;srl_reserve_slot();reserveSlot(;SRL_Database_Helpers::getInstance()->reserveSlot(
database-helpers.php;SRL_Database_Helpers;srl_cancel_reservation();cancelReservation(;SRL_Database_Helpers::getInstance()->cancelReservation(
database-helpers.php;SRL_Database_Helpers;srl_update_flight_status();updateFlightStatus(;SRL_Database_Helpers::getInstance()->updateFlightStatus(
database-helpers.php;SRL_Database_Helpers;srl_get_day_schedule_optimized();getDayScheduleOptimized(;SRL_Database_Helpers::getInstance()->getDayScheduleOptimized(
database-helpers.php;SRL_Database_Helpers;srl_format_slot_details();formatSlotDetails(;SRL_Database_Helpers::getInstance()->formatSlotDetails(
database-helpers.php;SRL_Database_Helpers;srl_zwroc_godziny_wg_pilota();zwrocGodzinyWgPilota(;SRL_Database_Helpers::getInstance()->zwrocGodzinyWgPilota(
helpers.php;SRL_Helpers;srl_get_user_full_data();getUserFullData(;SRL_Helpers::getInstance()->getUserFullData(
helpers.php;SRL_Helpers;srl_get_flight_option_product_ids();getFlightOptionProductIds(;SRL_Helpers::getInstance()->getFlightOptionProductIds(
helpers.php;SRL_Helpers;srl_get_flight_product_ids();getFlightProductIds(;SRL_Helpers::getInstance()->getFlightProductIds(
helpers.php;SRL_Helpers;srl_check_admin_permissions();checkAdminPermissions(;SRL_Helpers::getInstance()->checkAdminPermissions(
helpers.php;SRL_Helpers;srl_require_login();requireLogin(;SRL_Helpers::getInstance()->requireLogin(
helpers.php;SRL_Helpers;srl_get_current_datetime();getCurrentDatetime(;SRL_Helpers::getInstance()->getCurrentDatetime(
helpers.php;SRL_Helpers;srl_formatuj_date();formatujDate(;SRL_Helpers::getInstance()->formatujDate(
helpers.php;SRL_Helpers;srl_formatuj_czas();formatujCzas(;SRL_Helpers::getInstance()->formatujCzas(
helpers.php;SRL_Helpers;srl_formatuj_date_i_czas_polski();formatujDateICzasPolski(;SRL_Helpers::getInstance()->formatujDateICzasPolski(
helpers.php;SRL_Helpers;srl_formatuj_waznosc_lotu();formatujWaznoscLotu(;SRL_Helpers::getInstance()->formatujWaznoscLotu(
helpers.php;SRL_Helpers;srl_waliduj_telefon();walidujTelefon(;SRL_Helpers::getInstance()->walidujTelefon(
helpers.php;SRL_Helpers;srl_waliduj_date();walidujDate(;SRL_Helpers::getInstance()->walidujDate(
helpers.php;SRL_Helpers;srl_waliduj_godzine();walidujGodzine(;SRL_Helpers::getInstance()->walidujGodzine(
helpers.php;SRL_Helpers;srl_waliduj_pole_tekstowe();walidujPoleTekstowe(;SRL_Helpers::getInstance()->walidujPoleTekstowe(
helpers.php;SRL_Helpers;srl_waliduj_kod_vouchera();walidujKodVouchera(;SRL_Helpers::getInstance()->walidujKodVouchera(
helpers.php;SRL_Helpers;srl_waliduj_dane_pasazera();walidujDanePasazera(;SRL_Helpers::getInstance()->walidujDanePasazera(
helpers.php;SRL_Helpers;srl_waliduj_wiek();walidujWiek(;SRL_Helpers::getInstance()->walidujWiek(
helpers.php;SRL_Helpers;srl_waliduj_kategorie_wagowa();walidujKategorieWagowa(;SRL_Helpers::getInstance()->walidujKategorieWagowa(
helpers.php;SRL_Helpers;srl_generuj_html_komunikatow();generujHtmlKomunikatow(;SRL_Helpers::getInstance()->generujHtmlKomunikatow(
helpers.php;SRL_Helpers;srl_generate_status_badge();generateStatusBadge(;SRL_Helpers::getInstance()->generateStatusBadge(
helpers.php;SRL_Helpers;srl_format_flight_options_html();formatFlightOptionsHtml(;SRL_Helpers::getInstance()->formatFlightOptionsHtml(
helpers.php;SRL_Helpers;srl_generate_message();generateMessage(;SRL_Helpers::getInstance()->generateMessage(
helpers.php;SRL_Helpers;srl_generate_select();generateSelect(;SRL_Helpers::getInstance()->generateSelect(
helpers.php;SRL_Helpers;srl_generate_link();generateLink(;SRL_Helpers::getInstance()->generateLink(
helpers.php;SRL_Helpers;srl_generate_button();generateButton(;SRL_Helpers::getInstance()->generateButton(
helpers.php;SRL_Helpers;srl_can_cancel_reservation();canCancelReservation(;SRL_Helpers::getInstance()->canCancelReservation(
helpers.php;SRL_Helpers;srl_detect_flight_options();detectFlightOptions(;SRL_Helpers::getInstance()->detectFlightOptions(
helpers.php;SRL_Helpers;srl_generate_expiry_date();generateExpiryDate(;SRL_Helpers::getInstance()->generateExpiryDate(
helpers.php;SRL_Helpers;srl_is_date_past();isDatePast(;SRL_Helpers::getInstance()->isDatePast(
helpers.php;SRL_Helpers;srl_zamien_na_minuty();zamienNaMinuty(;SRL_Helpers::getInstance()->zamienNaMinuty(
helpers.php;SRL_Helpers;srl_minuty_na_czas();minutyNaCzas(;SRL_Helpers::getInstance()->minutyNaCzas(
historia-functions.php;SRL_Historia_Functions;srl_dopisz_do_historii_lotu();dopiszDoHistoriiLotu(;SRL_Historia_Functions::getInstance()->dopiszDoHistoriiLotu(
historia-functions.php;SRL_Historia_Functions;srl_pobierz_historie_lotu();pobierzHistorieLotu(;SRL_Historia_Functions::getInstance()->pobierzHistorieLotu(
historia-functions.php;SRL_Historia_Functions;srl_kategoryzuj_akcje();kategoryzujAkcje(;SRL_Historia_Functions::getInstance()->kategoryzujAkcje(
historia-functions.php;SRL_Historia_Functions;srl_uproszczony_opis_akcji();uproszczonyOpisAkcji(;SRL_Historia_Functions::getInstance()->uproszczonyOpisAkcji(
historia-functions.php;SRL_Historia_Functions;srl_czy_duplikat();czyDuplikat(;SRL_Historia_Functions::getInstance()->czyDuplikat(
historia-functions.php;SRL_Historia_Functions;srl_wyczysc_historie_wszystkich_lotow();wyczyscHistorieWszystkichLotow(;SRL_Historia_Functions::getInstance()->wyczyscHistorieWszystkichLotow(
historia-functions.php;SRL_Historia_Functions;srl_przebuduj_historie_lotow();przebudujHistorieLotow(;SRL_Historia_Functions::getInstance()->przebudujHistorieLotow(
client-account.php;SRL_Client_Account;srl_dodaj_endpointy();dodajEndpointy(;SRL_Client_Account::getInstance()->dodajEndpointy(
client-account.php;SRL_Client_Account;srl_flush_rewrite_rules();flushRewriteRules(;SRL_Client_Account::getInstance()->flushRewriteRules(
client-account.php;SRL_Client_Account;srl_dodaj_zakladki_klienta();dodajZakladkiKlienta(;SRL_Client_Account::getInstance()->dodajZakladkiKlienta(
client-account.php;SRL_Client_Account;srl_moje_loty_tresc();mojeLotypTresc(;SRL_Client_Account::getInstance()->mojeLotypTresc(
client-account.php;SRL_Client_Account;srl_informacje_o_mnie_tresc();informacjeOMnieTresc(;SRL_Client_Account::getInstance()->informacjeOMnieTresc(
frontend-shortcodes.php;SRL_Frontend_Shortcodes;srl_generuj_sekcje_voucherow();generujSekcjeVoucherow(;SRL_Frontend_Shortcodes::getInstance()->generujSekcjeVoucherow(
frontend-shortcodes.php;SRL_Frontend_Shortcodes;srl_generuj_js_voucherow();generujJsVoucherow(;SRL_Frontend_Shortcodes::getInstance()->generujJsVoucherow(
frontend-shortcodes.php;SRL_Frontend_Shortcodes;srl_shortcode_kalendarz();shortcodeKalendarz(;SRL_Frontend_Shortcodes::getInstance()->shortcodeKalendarz(
frontend-shortcodes.php;SRL_Frontend_Shortcodes;srl_komunikat_niezalogowany();komunikatNiezalogowany(;SRL_Frontend_Shortcodes::getInstance()->komunikatNiezalogowany(
frontend-shortcodes.php;SRL_Frontend_Shortcodes;srl_komunikat_brak_lotow();komunikatBrakLotow(;SRL_Frontend_Shortcodes::getInstance()->komunikatBrakLotow(
frontend-shortcodes.php;SRL_Frontend_Shortcodes;srl_pobierz_dostepne_loty();pobierzDostepneLoty(;SRL_Frontend_Shortcodes::getInstance()->pobierzDostepneLoty(
database-setup.php;SRL_Database_Setup;srl_aktywacja_wtyczki();activatePlugin(;SRL_Database_Setup::getInstance()->activatePlugin(
database-setup.php;SRL_Database_Setup;srl_aktualizuj_baze();updateDatabase(;SRL_Database_Setup::getInstance()->updateDatabase(
database-setup.php;SRL_Database_Setup;srl_cleanup_voucher_table();cleanupVoucherTable(;SRL_Database_Setup::getInstance()->cleanupVoucherTable(
database-setup.php;SRL_Database_Setup;srl_utworz_kategorie_produktow();createProductCategories(;SRL_Database_Setup::getInstance()->createProductCategories(
database-setup.php;SRL_Database_Setup;srl_utworz_strone_rezerwacji();createReservationPage(;SRL_Database_Setup::getInstance()->createReservationPage(
database-setup.php;SRL_Database_Setup;srl_dodaj_endpointy();addEndpoints(;SRL_Database_Setup::getInstance()->addEndpoints(
voucher-ajax.php;SRL_Voucher_Ajax;srl_ajax_wykorzystaj_voucher();ajaxWykorzystajVoucher(;SRL_Voucher_Ajax::getInstance()->ajaxWykorzystajVoucher(
voucher-ajax.php;SRL_Voucher_Ajax;srl_ajax_get_partner_voucher_types();ajaxGetPartnerVoucherTypes(;SRL_Voucher_Ajax::getInstance()->ajaxGetPartnerVoucherTypes(
voucher-ajax.php;SRL_Voucher_Ajax;srl_ajax_submit_partner_voucher();ajaxSubmitPartnerVoucher(;SRL_Voucher_Ajax::getInstance()->ajaxSubmitPartnerVoucher(
voucher-ajax.php;SRL_Voucher_Ajax;srl_ajax_get_partner_voucher_details();ajaxGetPartnerVoucherDetails(;SRL_Voucher_Ajax::getInstance()->ajaxGetPartnerVoucherDetails(
voucher-ajax.php;SRL_Voucher_Ajax;srl_ajax_approve_partner_voucher();ajaxApprovePartnerVoucher(;SRL_Voucher_Ajax::getInstance()->ajaxApprovePartnerVoucher(
voucher-ajax.php;SRL_Voucher_Ajax;srl_ajax_reject_partner_voucher();ajaxRejectPartnerVoucher(;SRL_Voucher_Ajax::getInstance()->ajaxRejectPartnerVoucher(
voucher-ajax.php;SRL_Voucher_Ajax;srl_ajax_get_partner_vouchers_list();ajaxGetPartnerVouchersList(;SRL_Voucher_Ajax::getInstance()->ajaxGetPartnerVouchersList(
voucher-ajax.php;SRL_Voucher_Ajax;srl_ajax_check_partner_voucher_exists();ajaxCheckPartnerVoucherExists(;SRL_Voucher_Ajax::getInstance()->ajaxCheckPartnerVoucherExists(
voucher-ajax.php;SRL_Voucher_Ajax;srl_ajax_get_partner_voucher_stats();ajaxGetPartnerVoucherStats(;SRL_Voucher_Ajax::getInstance()->ajaxGetPartnerVoucherStats(
admin-ajax.php;SRL_Admin_Ajax;srl_dodaj_godzine();ajaxDodajGodzine(;SRL_Admin_Ajax::getInstance()->ajaxDodajGodzine(
admin-ajax.php;SRL_Admin_Ajax;srl_zmien_slot();ajaxZmienSlot(;SRL_Admin_Ajax::getInstance()->ajaxZmienSlot(
admin-ajax.php;SRL_Admin_Ajax;srl_usun_godzine();ajaxUsunGodzine(;SRL_Admin_Ajax::getInstance()->ajaxUsunGodzine(
admin-ajax.php;SRL_Admin_Ajax;srl_zmien_status_godziny();ajaxZmienStatusGodziny(;SRL_Admin_Ajax::getInstance()->ajaxZmienStatusGodziny(
admin-ajax.php;SRL_Admin_Ajax;srl_anuluj_lot_przez_organizatora();ajaxAnulujLotPrzezOrganizatora(;SRL_Admin_Ajax::getInstance()->ajaxAnulujLotPrzezOrganizatora(
admin-ajax.php;SRL_Admin_Ajax;srl_wyszukaj_klientow_loty();ajaxWyszukajKlientowLoty(;SRL_Admin_Ajax::getInstance()->ajaxWyszukajKlientowLoty(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_dodaj_voucher_recznie();ajaxDodajVoucherRecznie(;SRL_Admin_Ajax::getInstance()->ajaxDodajVoucherRecznie(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_wyszukaj_dostepnych_klientow();ajaxWyszukajDostepnychKlientow(;SRL_Admin_Ajax::getInstance()->ajaxWyszukajDostepnychKlientow(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_przypisz_klienta_do_slotu();ajaxPrzypiszKlientaDoSlotu(;SRL_Admin_Ajax::getInstance()->ajaxPrzypiszKlientaDoSlotu(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_zapisz_dane_prywatne();ajaxZapiszDanePrywatne(;SRL_Admin_Ajax::getInstance()->ajaxZapiszDanePrywatne(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_pobierz_dane_prywatne();ajaxPobierzDanePrywatne(;SRL_Admin_Ajax::getInstance()->ajaxPobierzDanePrywatne(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_pobierz_aktualne_godziny();ajaxPobierzAktualneGodziny(;SRL_Admin_Ajax::getInstance()->ajaxPobierzAktualneGodziny(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_wyszukaj_wolne_loty();ajaxWyszukajWolneLoty(;SRL_Admin_Ajax::getInstance()->ajaxWyszukajWolneLoty(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_przypisz_wykupiony_lot();ajaxPrzypiszWykupionyLot(;SRL_Admin_Ajax::getInstance()->ajaxPrzypiszWykupionyLot(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_zapisz_lot_prywatny();ajaxZapiszLotPrywatny(;SRL_Admin_Ajax::getInstance()->ajaxZapiszLotPrywatny(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_pobierz_historie_lotu();ajaxPobierzHistorieLotu(;SRL_Admin_Ajax::getInstance()->ajaxPobierzHistorieLotu(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_przywroc_rezerwacje();ajaxPrzywrocRezerwacje(;SRL_Admin_Ajax::getInstance()->ajaxPrzywrocRezerwacje(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_pobierz_dane_odwolanego();ajaxPobierzDaneOdwolanego(;SRL_Admin_Ajax::getInstance()->ajaxPobierzDaneOdwolanego(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_zrealizuj_lot();ajaxZrealizujLot(;SRL_Admin_Ajax::getInstance()->ajaxZrealizujLot(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_zrealizuj_lot_prywatny();ajaxZrealizujLotPrywatny(;SRL_Admin_Ajax::getInstance()->ajaxZrealizujLotPrywatny(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_pobierz_dostepne_terminy_do_zmiany();ajaxPobierzDostepneTerminyDoZmiany(;SRL_Admin_Ajax::getInstance()->ajaxPobierzDostepneTerminyDoZmiany(
admin-ajax.php;SRL_Admin_Ajax;srl_ajax_zmien_termin_lotu();ajaxZmienTerminLotu(;SRL_Admin_Ajax::getInstance()->ajaxZmienTerminLotu(
flight-options-ajax.php;SRL_Flight_Options_Ajax;srl_ajax_sprawdz_opcje_w_koszyku();ajaxSprawdzOpcjeWKoszyku(;SRL_Flight_Options_Ajax::getInstance()->ajaxSprawdzOpcjeWKoszyku(
flight-options-ajax.php;SRL_Flight_Options_Ajax;srl_ajax_usun_opcje_z_koszyka();ajaxUsunOpcjeZKoszyka(;SRL_Flight_Options_Ajax::getInstance()->ajaxUsunOpcjeZKoszyka(
flight-options-ajax.php;SRL_Flight_Options_Ajax;srl_ajax_sprawdz_i_dodaj_opcje();ajaxSprawdzIDodajOpcje(;SRL_Flight_Options_Ajax::getInstance()->ajaxSprawdzIDodajOpcje(
flight-options-ajax.php;SRL_Flight_Options_Ajax;srl_ajax_add_to_cart();ajaxAddToCart((;SRL_Flight_Options_Ajax::getInstance()->ajaxAddToCart((
flight-options-ajax.php;SRL_Flight_Options_Ajax;srl_prepare_cart_item_data();ajaxPrepareCartItemData(;SRL_Flight_Options_Ajax::getInstance()->ajaxPrepareCartItemData(
frontend-ajax.php;SRL_Frontend_Ajax;srl_pobierz_dane_klienta();ajaxPobierzDaneKlienta(;SRL_Frontend_Ajax::getInstance()->ajaxPobierzDaneKlienta(
frontend-ajax.php;SRL_Frontend_Ajax;srl_zapisz_dane_pasazera();ajaxZapiszDanePasazera(;SRL_Frontend_Ajax::getInstance()->ajaxZapiszDanePasazera(
frontend-ajax.php;SRL_Frontend_Ajax;srl_pobierz_dostepne_dni();ajaxPobierzDostepneDni(;SRL_Frontend_Ajax::getInstance()->ajaxPobierzDostepneDni(
frontend-ajax.php;SRL_Frontend_Ajax;srl_pobierz_dostepne_godziny();ajaxPobierzDostepneGodziny(;SRL_Frontend_Ajax::getInstance()->ajaxPobierzDostepneGodziny(
frontend-ajax.php;SRL_Frontend_Ajax;srl_dokonaj_rezerwacji();ajaxDokonajRezerwacji(;SRL_Frontend_Ajax::getInstance()->ajaxDokonajRezerwacji(
frontend-ajax.php;SRL_Frontend_Ajax;srl_anuluj_rezerwacje_klient();ajaxAnulujRezerwacjeKlient(;SRL_Frontend_Ajax::getInstance()->ajaxAnulujRezerwacjeKlient(
frontend-ajax.php;SRL_Frontend_Ajax;srl_zablokuj_slot_tymczasowo();ajaxZablokujSlotTymczasowo(;SRL_Frontend_Ajax::getInstance()->ajaxZablokujSlotTymczasowo(
frontend-ajax.php;SRL_Frontend_Ajax;srl_ajax_login();ajaxLogin(;SRL_Frontend_Ajax::getInstance()->ajaxLogin(
frontend-ajax.php;SRL_Frontend_Ajax;srl_ajax_register();ajaxRegister(;SRL_Frontend_Ajax::getInstance()->ajaxRegister(
frontend-ajax.php;SRL_Frontend_Ajax;srl_ajax_waliduj_wiek();ajaxWalidujWiek(;SRL_Frontend_Ajax::getInstance()->ajaxWalidujWiek(
frontend-ajax.php;SRL_Frontend_Ajax;srl_ajax_waliduj_kategorie_wagowa();ajaxWalidujKategorieWagowa(;SRL_Frontend_Ajax::getInstance()->ajaxWalidujKategorieWagowa(
frontend-ajax.php;SRL_Frontend_Ajax;srl_ajax_pobierz_dostepne_loty();ajaxPobierzDostepneLoty(;SRL_Frontend_Ajax::getInstance()->ajaxPobierzDostepneLoty(
frontend-ajax.php;SRL_Frontend_Ajax;srl_ajax_pobierz_dane_dnia();ajaxPobierzDaneDnia(;SRL_Frontend_Ajax::getInstance()->ajaxPobierzDaneDnia(
class-srl-partner-voucher-functions.php;SRL_Partner_Voucher_Functions;srl_get_partner_voucher_config();getPartnerVoucherConfig(;SRL_Partner_Voucher_Functions::getInstance()->getPartnerVoucherConfig(
class-srl-partner-voucher-functions.php;SRL_Partner_Voucher_Functions;srl_get_partners_list();getPartnersList(;SRL_Partner_Voucher_Functions::getInstance()->getPartnersList(
class-srl-partner-voucher-functions.php;SRL_Partner_Voucher_Functions;srl_get_partner_voucher_types();getPartnerVoucherTypes(;SRL_Partner_Voucher_Functions::getInstance()->getPartnerVoucherTypes(
class-srl-partner-voucher-functions.php;SRL_Partner_Voucher_Functions;srl_get_voucher_passenger_count();getVoucherPassengerCount(;SRL_Partner_Voucher_Functions::getInstance()->getVoucherPassengerCount(
class-srl-partner-voucher-functions.php;SRL_Partner_Voucher_Functions;srl_save_partner_voucher();savePartnerVoucher(;SRL_Partner_Voucher_Functions::getInstance()->savePartnerVoucher(
class-srl-partner-voucher-functions.php;SRL_Partner_Voucher_Functions;srl_validate_partner_voucher_data();validatePartnerVoucherData(;SRL_Partner_Voucher_Functions::getInstance()->validatePartnerVoucherData(
class-srl-partner-voucher-functions.php;SRL_Partner_Voucher_Functions;srl_get_partner_vouchers();getPartnerVouchers(;SRL_Partner_Voucher_Functions::getInstance()->getPartnerVouchers(
class-srl-partner-voucher-functions.php;SRL_Partner_Voucher_Functions;srl_get_partner_voucher();getPartnerVoucher(;SRL_Partner_Voucher_Functions::getInstance()->getPartnerVoucher(
class-srl-partner-voucher-functions.php;SRL_Partner_Voucher_Functions;srl_approve_partner_voucher();approvePartnerVoucher(;SRL_Partner_Voucher_Functions::getInstance()->approvePartnerVoucher(
class-srl-partner-voucher-functions.php;SRL_Partner_Voucher_Functions;srl_reject_partner_voucher();rejectPartnerVoucher(;SRL_Partner_Voucher_Functions::getInstance()->rejectPartnerVoucher(
class-srl-partner-voucher-functions.php;SRL_Partner_Voucher_Functions;srl_send_partner_voucher_notification_email();sendPartnerVoucherNotificationEmail(;SRL_Partner_Voucher_Functions::getInstance()->sendPartnerVoucherNotificationEmail(
admin-menu.php;SRL_Admin_Menu;srl_dodaj_strony_admin();dodajStronyAdmin();SRL_Admin_Menu::getInstance()->dodajStronyAdmin()
